review_id,path,category,text_type,text_language,suggested_action,status,note
1,backgrounds/bg_combat_abyss.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
2,backgrounds/bg_combat_catacombs.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
3,backgrounds/bg_combat_forest.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
4,backgrounds/bg_combat_swamp.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
5,backgrounds/bg_combat_tundra.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
6,backgrounds/bg_combat_volcano.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
7,backgrounds/bg_event_abyss.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
8,backgrounds/bg_event_catacombs.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
9,backgrounds/bg_event_forest.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
10,backgrounds/bg_event_swamp.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
11,backgrounds/bg_event_tundra.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
12,backgrounds/bg_event_volcano.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
13,backgrounds/bg_room_healing.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
14,backgrounds/bg_room_rest.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
15,backgrounds/bg_room_shop.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
16,backgrounds/bg_room_treasure.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
17,backgrounds/bg_room_upgrade.png,backgrounds,signage,unknown,review,pending,背景招牌/海报需人工确认
18,icons/buffs/icon_buff_atkup.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
19,icons/buffs/icon_buff_defup.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
20,icons/buffs/icon_buff_shield.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
21,icons/buffs/icon_buff_speedup.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
22,icons/buffs/icon_buff_stealth.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
23,icons/buffs/icon_debuff_burn.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
24,icons/buffs/icon_debuff_freeze.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
25,icons/buffs/icon_debuff_poison.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
26,icons/buffs/icon_debuff_slow.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
27,icons/buffs/icon_debuff_stun.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
28,icons/elements/icon_element_fire.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
29,icons/elements/icon_element_frost.png,icons,unknown,unknown,review,pending,需人工确认是否有文字
