path,decision,risk_reasons
backgrounds/bg_combat_volcano.png,manual_review,red_visual_heuristic_dark:15.8%
backgrounds/bg_event_volcano.png,manual_review,red_visual_heuristic_dark:12.3%
backgrounds/bg_room_shop.png,manual_review,red_visual_heuristic_dark:8.5%
bosses/finalboss/abyss/boss_abyssoverlord_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_abyssoverlord_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_beast_swamp_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_firelord_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_forestguardian_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_frostqueen_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_guardian_forest_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_lord_abyss_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_lord_catacombs_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_lord_volcano_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_queen_tundra_death.png,manual_review,manual_review_death_theme
bosses/finalboss/boss_skeletonlord_attack.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/boss_skeletonlord_death.png,manual_review,manual_review_death_theme; manual_review_skeleton_keyword
bosses/finalboss/boss_skeletonlord_idle.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/boss_skeletonlord_phasechange.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/boss_skeletonlord_skill.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/boss_swampbehemoth_death.png,manual_review,manual_review_death_theme
bosses/finalboss/catacombs/boss_skeletonlord_attack.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/catacombs/boss_skeletonlord_death.png,manual_review,manual_review_death_theme; manual_review_skeleton_keyword
bosses/finalboss/catacombs/boss_skeletonlord_idle.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/catacombs/boss_skeletonlord_phasechange.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/catacombs/boss_skeletonlord_skill.png,manual_review,manual_review_skeleton_keyword
bosses/finalboss/forest/boss_forestguardian_death.png,manual_review,manual_review_death_theme
bosses/finalboss/swamp/boss_swampbehemoth_death.png,manual_review,manual_review_death_theme
bosses/finalboss/tundra/boss_frostqueen_death.png,manual_review,manual_review_death_theme
bosses/finalboss/volcano/boss_firelord_death.png,manual_review,manual_review_death_theme
bosses/miniboss/catacombs/miniboss_giantskeleton_idle.png,manual_review,manual_review_skeleton_keyword
characters/archer/archer_death.png,manual_review,manual_review_death_theme
characters/assassin/assassin_death.png,manual_review,manual_review_death_theme
characters/berserker/berserker_attack.png,manual_review,manual_review_berserker_theme; red_visual_heuristic_dark:9.5%
characters/berserker/berserker_death.png,manual_review,manual_review_berserker_theme; manual_review_death_theme; red_visual_heuristic_dark:12.7%
characters/berserker/berserker_dodge.png,manual_review,manual_review_berserker_theme
characters/berserker/berserker_hit.png,manual_review,manual_review_berserker_theme; red_visual_heuristic_dark:15.1%
characters/berserker/berserker_idle.png,manual_review,manual_review_berserker_theme; red_visual_heuristic_dark:16.0%
characters/berserker/berserker_skill.png,manual_review,manual_review_berserker_theme
characters/berserker/berserker_walk.png,manual_review,manual_review_berserker_theme
characters/mage/mage_death.png,manual_review,manual_review_death_theme
characters/warrior/warrior_death.png,manual_review,manual_review_death_theme
effects/reactions/fx_reaction_burn.png,manual_review,red_visual_heuristic_dark:99.5%
effects/relics/fx_relic_flame_ring.png,manual_review,red_visual_heuristic_dark:77.2%
icons/buffs/icon_buff_atkup.png,manual_review,red_visual_heuristic_dark:11.6%
icons/buffs/icon_buff_shield.png,manual_review,red_visual_heuristic_dark:12.0%
icons/buffs/icon_buff_stealth.png,manual_review,red_visual_heuristic_dark:8.0%
icons/buffs/icon_debuff_slow.png,reject_rework_required,known unsafe: generated buff/debuff icon contains English/fake text
icons/buffs/icon_debuff_stun.png,manual_review,red_visual_heuristic_dark:8.9%
icons/elements/icon_element_fire.png,manual_review,red_visual_heuristic_dark:8.7%
icons/items/icon_item_flamebomb.png,manual_review,red_visual_heuristic_dark:9.0%
icons/relics/icon_relic_flamering.png,manual_review,red_visual_heuristic_dark:21.6%
icons/relics/icon_relic_frenzyaxe.png,manual_review,manual_review_blade_keyword; red_visual_heuristic_dark:68.3%
icons/relics/icon_relic_shadowdagger.png,manual_review,manual_review_blade_keyword
icons/relics/icon_relic_thornarmor.png,manual_review,manual_review_spike_keyword
icons/sets/icon_set_frostbite.png,reject_rework_required,known unsafe: generated set icon contains English/fake text
icons/sets/icon_set_fury.png,reject_rework_required,known unsafe: generated set icon contains English/fake text
icons/sets/icon_set_ironwall.png,reject_rework_required,known unsafe: generated set icon contains English/fake text
icons/sets/icon_set_tempest.png,reject_rework_required,known unsafe: generated set icon contains English/fake text
icons/skills/icon_skill_dash.png,reject_rework_required,known unsafe: generated skill icon contains English/fake text
icons/skills/icon_skill_elementburst.png,reject_rework_required,known unsafe: generated skill icon contains English/fake text
icons/skills/icon_skill_healwave.png,reject_rework_required,known unsafe: generated skill icon contains English/fake text
monsters/catacombs/monster_catacombs_deathknight_idle.png,manual_review,manual_review_death_theme
monsters/catacombs/monster_catacombs_skeleton_idle.png,manual_review,manual_review_skeleton_keyword
monsters/catacombs/monster_catacombs_skeletonarcher_idle.png,manual_review,manual_review_skeleton_keyword
monsters/tundra/monster_tundra_iceskeleton_idle.png,manual_review,manual_review_skeleton_keyword
tiles/abyss/tile_abyss_thorn.png,manual_review,manual_review_spike_keyword
