actual_path,alpha_partial_pct,alpha_zero_pct,assetId,budget_jpg,budget_png,center_std,checker_pct,cyan_transparent_pct,format,format_cell,green_transparent_pct,h,has_alpha,height,kb,line,magenta_transparent_pct,mode,near_white_pct,path,presence,section,status,uiKey,visible_cyan_pct,visible_green_pct,visible_magenta_pct,w,white_pct,width,issues
assets/resources/textures/ui/create/btn_class_selected.png,0.0,0.0,textures/ui/create/btn_class_selected,,45.0,78.42752237813939,23.30078125,0,PNG,PNG RGBA,0,64,True,64,23.1357421875,213,0,RGBA,0.185546875,assets/resources/textures/ui/create/btn_class_selected.png,exact,## 7. Create 创建角色,必须重做,ui.create.class_btn_selected,0.0,0.0,0.0,160,0.09765625,160,visible_checker_or_fake_transparency_risk;button_center_too_busy_risk
assets/resources/textures/ui/create/btn_create_confirm.png,0.0,0.0,textures/ui/create/btn_create_confirm,,55.0,126.27125957454274,41.794258373205736,0,PNG,PNG RGBA,0,76,True,76,35.9736328125,214,0,RGBA,23.098086124401913,assets/resources/textures/ui/create/btn_create_confirm.png,exact,## 7. Create 创建角色,必须重做,ui.create.confirm_btn,0.0,6.6028708133971294,0.0,220,13.773923444976077,220,visible_checker_or_fake_transparency_risk;visible_chroma_residue;button_center_too_busy_risk
assets/resources/textures/ui/create/btn_create_skip.png,0.0,0.0,textures/ui/create/btn_create_skip,,55.0,84.2745770575142,38.427033492822964,0,PNG,PNG RGBA,0,76,True,76,32.2373046875,215,0,RGBA,24.820574162679428,assets/resources/textures/ui/create/btn_create_skip.png,exact,## 7. Create 创建角色,必须重做,ui.create.skip_btn,0.0,0.0,0.0,220,17.3444976076555,220,visible_checker_or_fake_transparency_risk;button_center_too_busy_risk
assets/resources/textures/ui/create/input_name.png,0.0,0.0,textures/ui/create/input_name,,60.0,11.493897048695622,9.832175925925926,0,PNG,PNG RGBA,0,72,True,72,48.9443359375,216,0,RGBA,12.210648148148149,assets/resources/textures/ui/create/input_name.png,exact,## 7. Create 创建角色,必须新增,ui.create.name_input,0.0,0.0,0.0,480,8.463541666666668,480,visible_checker_or_fake_transparency_risk
assets/resources/textures/ui/create/character_stage_glow.png,0.0,0.0,textures/ui/create/character_stage_glow,,50.0,68.11443690981163,0.0,0,PNG,PNG RGBA,0,120,True,120,25.3896484375,217,0,RGBA,0.026041666666666668,assets/resources/textures/ui/create/character_stage_glow.png,exact,## 7. Create 创建角色,建议新增,ui.create.stage_glow,0.0,0.0,0.0,320,0.0,320,
assets/resources/textures/ui/create/info_panel.png,0.0,0.0,textures/ui/create/info_panel,,80.0,41.32201431940686,0.0,0,PNG,PNG RGBA,0,110,True,110,46.2919921875,218,0,RGBA,0.0,assets/resources/textures/ui/create/info_panel.png,exact,## 7. Create 创建角色,建议新增,ui.create.info_panel,0.0,0.0,0.0,620,0.0,620,hard_alpha_panel_edge
assets/resources/textures/ui/character/character_bg.jpg,0.0,0.0,textures/ui/character/character_bg,,800.0,92.33799622383782,0.0005425347222222222,0,JPEG,PNG/JPG,0,720,False,720,297.82421875,230,0,RGB,0.083984375,assets/resources/textures/ui/character/character_bg.png,extension_mismatch,## 8. Character 角色选择,必须新增,ui.character.bg,0.0,0.0,0.0,1280,0.037760416666666664,1280,extension_mismatch_doc_vs_file
assets/resources/textures/ui/character/character_detail_panel.png,33.71264792899408,0.11279585798816569,textures/ui/character/character_detail_panel,,140.0,4.1172361444819865,0.0,0.0,PNG,PNG RGBA,0.0,520,True,520,134.9833984375,231,0.0,RGBA,0.33136094674556216,assets/resources/textures/ui/character/character_detail_panel.png,exact,## 8. Character 角色选择,必须新增,ui.character.detail_panel,0.0,0.0,0.0,520,0.0,520,
assets/resources/textures/ui/character/character_list_panel.png,0.0,0.06994047619047619,textures/ui/character/character_list_panel,,120.0,104.6456319267917,0.0,0.0,PNG,PNG RGBA,0.0,560,True,560,103.45703125,232,0.0,RGBA,29.8640873015873,assets/resources/textures/ui/character/character_list_panel.png,exact,## 8. Character 角色选择,必须新增,ui.character.list_panel,0.0,0.0,0.0,360,0.0,360,hard_alpha_panel_edge
assets/resources/textures/ui/character/character_card_default.png,0.0,0.042317708333333336,textures/ui/character/character_card_default,,60.0,124.46233465746668,0.0,0.0,PNG,PNG RGBA,0.0,96,True,96,23.173828125,233,0.0,RGBA,1.1751302083333333,assets/resources/textures/ui/character/character_card_default.png,exact,## 8. Character 角色选择,必须新增,character.card.default,0.0,0.0,0.0,320,0.0,320,hard_alpha_panel_edge
