path,category,action,grade,width,height,target_w,target_h,frame_w,frame_h,target_size_kb,bundle,atlas_group,state,reason
bosses/finalboss/boss_abyssoverlord_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_abyssoverlord_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_beast_swamp_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_beast_swamp_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_firelord_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_firelord_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_forestguardian_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_forestguardian_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_frostqueen_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_frostqueen_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_guardian_forest_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_guardian_forest_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_lord_abyss_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_lord_abyss_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_lord_catacombs_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_lord_catacombs_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_lord_volcano_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_lord_volcano_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_queen_tundra_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_queen_tundra_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_skeletonlord_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_skeletonlord_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_swampbehemoth_death.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
bosses/finalboss/boss_swampbehemoth_phasechange.png,bosses,defer,A,96,96,96,96,96,96,30,bundle_boss_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
