resource,risks,action_taken
splash/splash_logo.png,CHROMA_RESIDUE(count=47659) | HARD_ALPHA_EDGE(partial=70.0%),pending_review
upgrade/card_frame_common.png,CHROMA_RESIDUE(count=6838),pending_review
upgrade/card_frame_epic.png,CHROMA_RESIDUE(count=1578),pending_review
upgrade/card_frame_rare.png,CHROMA_RESIDUE(count=41375),pending_review
upgrade/icon_ability_bullettime.png,SKULL_SUSPECT(white=13.1% dark=2.5%) | CHROMA_RESIDUE(count=19156),pending_review
upgrade/icon_ability_doublestrike.png,SKULL_SUSPECT(white=25.4% dark=2.7%) | CHROMA_RESIDUE(count=14077),pending_review
upgrade/icon_ability_elementresonance.png,CHROMA_RESIDUE(count=8278),pending_review
upgrade/icon_ability_firewalker.png,SKULL_SUSPECT(white=7.0% dark=7.0%) | TEXT_EDGES_SUSPECT(edge_ratio=12.1%) | CHROMA_RESIDUE(count=522) | HARD_ALPHA_EDGE(partial=16.4%),pending_review
upgrade/icon_ability_frostbite.png,SKULL_SUSPECT(white=23.7% dark=2.4%) | TEXT_EDGES_SUSPECT(edge_ratio=14.1%) | CHROMA_RESIDUE(count=10775) | HARD_ALPHA_EDGE(partial=30.8%),pending_review
upgrade/icon_ability_holyshield.png,CHROMA_RESIDUE(count=1464) | HARD_ALPHA_EDGE(partial=16.9%),pending_review
upgrade/icon_ability_lifestealaura.png,SKULL_SUSPECT(white=12.7% dark=1.7%) | CHROMA_RESIDUE(count=13808) | HARD_ALPHA_EDGE(partial=15.6%),pending_review
upgrade/icon_ability_phasewalk.png,SKULL_SUSPECT(white=12.9% dark=2.5%) | CHROMA_RESIDUE(count=21997),pending_review
upgrade/icon_ability_ricochet.png,SKULL_SUSPECT(white=42.2% dark=3.5%) | CHROMA_RESIDUE(count=4750),pending_review
upgrade/icon_ability_shieldreflect.png,SKULL_SUSPECT(white=22.3% dark=1.6%) | CHROMA_RESIDUE(count=7977),pending_review
upgrade/icon_ability_sprint.png,SKULL_SUSPECT(white=11.5% dark=5.6%) | TEXT_EDGES_SUSPECT(edge_ratio=14.4%) | CHROMA_RESIDUE(count=6647) | HARD_ALPHA_EDGE(partial=27.1%),pending_review
upgrade/icon_ability_warcry.png,SKULL_SUSPECT(white=10.9% dark=1.8%) | CHROMA_RESIDUE(count=12695),pending_review
upgrade/icon_relic_blinkstone.png,SKULL_SUSPECT(white=21.8% dark=3.2%) | CHROMA_RESIDUE(count=12837),pending_review
upgrade/icon_relic_decoyscroll.png,SKULL_SUSPECT(white=38.5% dark=5.1%) | CHROMA_RESIDUE(count=128),pending_review
upgrade/icon_relic_echoorb.png,SKULL_SUSPECT(white=25.7% dark=1.9%) | CHROMA_RESIDUE(count=8719),pending_review
upgrade/icon_relic_flamering.png,SKULL_SUSPECT(white=20.1% dark=2.8%) | TEXT_EDGES_SUSPECT(edge_ratio=11.9%) | CHROMA_RESIDUE(count=1090) | HARD_ALPHA_EDGE(partial=18.2%),pending_review
